id;name;type;sent;unique open;unique click;spam report;bounce;unsubscribe;tickets;revenue;sent at
291315;Corderito Sherpa - 22/03;custom;16184;5258;133;2;0;12;1;56055;22/3/2025
291315;Corderito Sherpa - 22/03;custom;0;0;0;0;0;0;3;128800;23/3/2025
290328;HASTA 30% OFF TELAS - 18/03;custom;22366;9375;345;5;4;42;1;8280;18/3/2025
290328;HASTA 30% OFF TELAS - 18/03;custom;0;0;0;0;0;0;11;3273380;21/3/2025
290328;HASTA 30% OFF TELAS - 18/03;custom;0;0;0;0;0;0;16;3518270;19/3/2025
290328;HASTA 30% OFF TELAS - 18/03;custom;0;0;0;0;0;0;15;3158260;20/3/2025
290548;HASTA 30% OFF ultimas horas - 19/03;custom;0;0;0;0;0;0;7;998068;20/3/2025
290548;HASTA 30% OFF ultimas horas - 19/03;custom;0;0;0;0;0;0;11;2999770;21/3/2025
290548;HASTA 30% OFF ultimas horas - 19/03;custom;22402;10594;277;2;1;41;3;120075;19/3/2025
290548;HASTA 30% OFF ultimas horas - 19/03;custom;0;0;0;0;0;0;6;865491;22/3/2025
290939;Linos - 20/03;custom;16207;6011;124;1;1;10;3;457124;21/3/2025
290939;Linos - 20/03;custom;0;0;0;0;0;0;3;1088890;22/3/2025
290939;Linos - 20/03;custom;0;0;0;0;0;0;4;1256810;23/3/2025
