id;name;type;sent;unique open;unique click;spam report;bounce;unsubscribe;tickets;revenue;sent at
287339;01/03 - Cupón Finde XXL;custom;54929;8344;283;4;5;55;2;509489;1/3/2025
287339;01/03 - Cupón Finde XXL;custom;0;0;0;0;0;0;4;520735;4/3/2025
287339;01/03 - Cupón Finde XXL;custom;0;0;0;0;0;0;1;170520;2/3/2025
287339;01/03 - Cupón Finde XXL;custom;0;0;0;0;0;0;4;489160;3/3/2025
287344;04/03 - Ultimo Día Cupón;custom;0;0;0;0;0;0;9;980162;5/3/2025
287344;04/03 - Ultimo Día Cupón;custom;0;0;0;0;0;0;2;769540;6/3/2025
287344;04/03 - Ultimo Día Cupón;custom;54983;8433;337;5;13;60;6;676600;4/3/2025
287344;04/03 - Ultimo Día Cupón;custom;0;0;0;0;0;0;3;375685;7/3/2025
287919;06/03 - Los más vendidos de 2025;custom;0;0;0;0;0;0;2;369399;7/3/2025
287919;06/03 - Los más vendidos de 2025;custom;0;0;0;0;0;0;7;781331;8/3/2025
287919;06/03 - Los más vendidos de 2025;custom;55024;8151;326;1;1;52;1;165800;6/3/2025
287919;06/03 - Los más vendidos de 2025;custom;0;0;0;0;0;0;4;250823;9/3/2025
287346;08/03 - Nueva Temporada;custom;54889;8596;348;2;5;35;3;409972;8/3/2025
287346;08/03 - Nueva Temporada;custom;0;0;0;0;0;0;6;549744;11/3/2025
287346;08/03 - Nueva Temporada;custom;0;0;0;0;0;0;3;239540;9/3/2025
287346;08/03 - Nueva Temporada;custom;0;0;0;0;0;0;8;488650;10/3/2025
288663;11/03 - Beneficios exclusivos | 3 y 6 cuotas - 10% off transferencia - envío gratis +$160.000;custom;54924;7970;329;2;1;33;0;0;11/3/2025
288663;11/03 - Beneficios exclusivos | 3 y 6 cuotas - 10% off transferencia - envío gratis +$160.000;custom;0;0;0;0;0;0;1;84420;14/3/2025
288663;11/03 - Beneficios exclusivos | 3 y 6 cuotas - 10% off transferencia - envío gratis +$160.000;custom;0;0;0;0;0;0;4;484535;12/3/2025
288663;11/03 - Beneficios exclusivos | 3 y 6 cuotas - 10% off transferencia - envío gratis +$160.000;custom;0;0;0;0;0;0;8;865542;13/3/2025
289113;12/03 - Elegi tu outfit preferido;custom;0;0;0;0;0;0;5;385900;13/3/2025
289113;12/03 - Elegi tu outfit preferido;custom;0;0;0;0;0;0;3;411420;14/3/2025
289113;12/03 - Elegi tu outfit preferido;custom;54944;8448;357;2;1;38;0;0;12/3/2025
289113;12/03 - Elegi tu outfit preferido;custom;0;0;0;0;0;0;6;463984;15/3/2025
289786;14/03 - NEW IN;custom;16072;5842;290;1;0;9;0;0;14/3/2025
289786;14/03 - NEW IN;custom;0;0;0;0;0;0;5;539200;15/3/2025
289786;14/03 - NEW IN;custom;0;0;0;0;0;0;3;385460;17/3/2025
289965;17/03 - Glam Days 1;custom;0;0;0;0;0;0;5;1337660;18/3/2025
289965;17/03 - Glam Days 1;custom;0;0;0;0;0;0;1;57900;19/3/2025
289965;17/03 - Glam Days 1;custom;70699;16227;490;6;6;157;8;982333;17/3/2025
289965;17/03 - Glam Days 1;custom;0;0;0;0;0;0;2;310315;20/3/2025
290144;18/03 - Glam Days 2;custom;0;0;0;0;0;0;3;435520;21/3/2025
290144;18/03 - Glam Days 2;custom;16093;5863;234;1;0;5;1;56575;18/3/2025
290144;18/03 - Glam Days 2;custom;0;0;0;0;0;0;3;431840;19/3/2025
290400;19/03 - Glam Days 3 - 18hs;custom;16073;5834;138;1;0;11;1;55404;19/3/2025
290400;19/03 - Glam Days 3 - 18hs;custom;0;0;0;0;0;0;1;159700;22/3/2025
290398;19/03 - Glam Days 3 - 9hs;custom;0;0;0;0;0;0;3;748018;21/3/2025
290398;19/03 - Glam Days 3 - 9hs;custom;16088;5774;197;2;0;6;3;473950;19/3/2025
290398;19/03 - Glam Days 3 - 9hs;custom;0;0;0;0;0;0;2;137109;20/3/2025
290622;20/03 - Glam Days 4 - extendemos;custom;0;0;0;0;0;0;1;43900;22/3/2025
290622;20/03 - Glam Days 4 - extendemos;custom;16075;6079;224;1;0;13;2;53380;20/3/2025
290622;20/03 - Glam Days 4 - extendemos;custom;0;0;0;0;0;0;3;178915;23/3/2025
290622;20/03 - Glam Days 4 - extendemos;custom;0;0;0;0;0;0;1;171349;21/3/2025
290896;22/03 - Glam Days 5;custom;0;0;0;0;0;0;1;117495;24/3/2025
290896;22/03 - Glam Days 5;custom;0;0;0;0;0;0;1;179680;25/3/2025
290896;22/03 - Glam Days 5;custom;29075;14838;231;1;3;76;2;239018;22/3/2025
291306;24/03 - Cupon post Glam Days;custom;0;0;0;0;0;0;1;165220;25/3/2025
291306;24/03 - Cupon post Glam Days;custom;28409;12319;248;1;3;84;1;47120;24/3/2025
291901;26/03 - NEW IN;custom;16113;2924;199;2;0;4;0;0;26/3/2025
289802;Copia de '12/03 - Elegi tu outfit preferido';custom;0;0;0;0;0;0;9;1378500;18/3/2025
289802;Copia de '12/03 - Elegi tu outfit preferido';custom;16072;6200;274;1;0;7;1;357550;16/3/2025
289802;Copia de '12/03 - Elegi tu outfit preferido';custom;0;0;0;0;0;0;3;332655;19/3/2025
289802;Copia de '12/03 - Elegi tu outfit preferido';custom;0;0;0;0;0;0;3;627795;17/3/2025
